Campaign,Ad_ID,Date,Age_Group,Gender,Interest1,Interest2,Interest3,Impressions,Clicks,Engagement,Total_Spent,CTR(%),CPC,ROI(%)
Campaign A,Ad-5,2025-01-03,25-34,F,2630,4498,1569,9696,972,3573,4561.8,10.02,4.69,185.62
Campaign A,Ad-6,2025-01-03,18-24,F,4424,4908,1857,3809,1475,2984,4921.73,38.72,3.34,124.87
Campaign A,Ad-7,2025-01-03,18-24,M,1087,1889,4824,18626,326,4235,2401.51,1.75,7.37,124.55
Campaign A,Ad-8,2025-01-03,25-34,F,4317,2556,4844,19338,449,3410,393.27,2.32,0.88,172.02
Campaign A,Ad-9,2025-01-03,35-39,F,1312,4772,2775,9615,1212,961,3179.22,12.61,2.62,116.17
Campaign A,Ad-10,2025-01-03,45-54,M,3136,1052,4164,7758,1421,1901,2569.88,18.32,1.81,167.29
Campaign B,Ad-1,2025-01-03,55+,F,1250,2638,4897,7972,699,1565,2176.1,8.77,3.11,194.07
Campaign B,Ad-2,2025-01-03,55+,M,1266,1291,2817,15537,663,2549,3652.3,4.27,5.51,129.29
Campaign B,Ad-3,2025-01-03,25-34,F,3022,4911,3458,18314,939,4496,1621.08,5.13,1.73,195.21
Campaign B,Ad-4,2025-01-03,45-54,M,1782,1656,2048,12566,869,472,4401.96,6.92,5.07,181.23
Campaign B,Ad-5,2025-01-03,40-44,F,1164,2889,4904,6212,613,201,2715.34,9.87,4.43,163.97
Campaign B,Ad-6,2025-01-03,25-34,F,1849,1667,1931,17951,1500,2745,1477.65,8.36,0.99,101.58
Campaign B,Ad-7,2025-01-03,45-54,F,4750,4854,2684,13308,1383,774,756.76,10.39,0.55,158.75
Campaign B,Ad-8,2025-01-03,40-44,F,3926,2306,4829,6217,1256,2458,3643.38,20.2,2.9,100.03
Campaign B,Ad-9,2025-01-03,35-39,M,4680,2092,1243,4650,629,4377,4505.84,13.53,7.16,101.48
Campaign B,Ad-10,2025-01-03,55+,M,4988,2442,3275,13037,1329,289,4553.87,10.19,3.43,86.36
Campaign C,Ad-1,2025-01-03,45-54,M,2884,4117,1206,4692,988,1456,3390.79,21.06,3.43,140.89
Campaign C,Ad-2,2025-01-03,45-54,F,2534,4639,3723,9236,1023,2082,2094.86,11.08,2.05,139.94
Campaign C,Ad-3,2025-01-03,45-54,M,4524,1473,1423,15889,415,3804,2394.76,2.61,5.77,108.55
Campaign C,Ad-4,2025-01-03,18-24,F,1526,1257,1373,3844,1430,4935,2087.13,37.2,1.46,161.29
Campaign C,Ad-5,2025-01-03,55+,F,3225,3616,4218,18651,460,1783,3051.09,2.47,6.63,126.63
Campaign C,Ad-6,2025-01-03,55+,F,2346,1129,1694,3751,879,1578,3845.68,23.43,4.38,125.2
Campaign C,Ad-7,2025-01-03,45-54,F,1435,4491,1019,16459,155,1334,4357.45,0.94,28.11,195.53
Campaign C,Ad-8,2025-01-03,45-54,M,1286,1169,2142,19668,651,1916,1002.57,3.31,1.54,193.31
Campaign C,Ad-9,2025-01-03,55+,F,2725,1776,3453,9736,1113,1887,1511.55,11.43,1.36,99.34
Campaign C,Ad-10,2025-01-03,25-34,M,4830,2890,4580,4653,454,3228,1335.16,9.76,2.94,132.98
Campaign D,Ad-1,2025-01-03,45-54,F,2471,4433,4046,4639,1442,1099,4950.52,31.08,3.43,138.71
Campaign D,Ad-2,2025-01-03,35-39,F,3774,1121,2549,18409,260,4075,1700.12,1.41,6.54,86.13
Campaign D,Ad-3,2025-01-03,18-24,M,1569,4206,1135,17213,133,1157,4373.4,0.77,32.88,142.38
Campaign D,Ad-4,2025-01-03,45-54,M,4985,1457,3014,4207,1478,3070,2443.8,35.13,1.65,138.01
Campaign D,Ad-5,2025-01-03,55+,M,2559,3469,4122,11136,370,4659,1491.43,3.32,4.03,104.05
Campaign D,Ad-6,2025-01-03,45-54,F,4524,1641,4492,6042,551,3102,2521.77,9.12,4.58,128.82
Campaign D,Ad-7,2025-01-03,35-39,M,1067,2193,3640,15838,512,375,4969.86,3.23,9.71,184.85
Campaign D,Ad-8,2025-01-03,35-39,F,3118,1081,2830,5894,110,4264,1830.73,1.87,16.64,122.18
Campaign D,Ad-9,2025-01-03,45-54,F,2529,2122,1582,18184,817,453,2516.01,4.49,3.08,134.16
Campaign D,Ad-10,2025-01-03,35-39,F,4593,4200,3780,17032,251,2965,3369.88,1.47,13.43,194.65
Campaign E,Ad-1,2025-01-03,40-44,M,1998,2207,3870,6553,299,2989,624.14,4.56,2.09,161.73
Campaign E,Ad-2,2025-01-03,40-44,M,1729,2881,1416,14074,1162,4708,2324.45,8.26,2.0,176.16
Campaign E,Ad-3,2025-01-03,25-34,M,1070,4597,4976,15434,727,3450,4800.01,4.71,6.6,122.89
Campaign E,Ad-4,2025-01-03,40-44,M,4535,4390,1247,12900,483,3540,561.32,3.74,1.16,182.97
Campaign E,Ad-5,2025-01-03,45-54,M,2000,1232,4363,17720,1180,4542,620.65,6.66,0.53,170.58
Campaign E,Ad-6,2025-01-03,25-34,F,1286,2425,3070,6431,1284,4223,274.43,19.97,0.21,162.03
Campaign E,Ad-7,2025-01-03,25-34,M,1436,1846,1043,9884,255,678,2207.93,2.58,8.66,90.92
Campaign E,Ad-8,2025-01-03,25-34,M,4832,3819,2840,10235,776,471,4908.12,7.58,6.32,142.38
Campaign E,Ad-9,2025-01-03,35-39,M,3052,4186,4480,14243,421,898,2841.33,2.96,6.75,183.91
Campaign E,Ad-10,2025-01-03,55+,F,2718,3589,1963,10101,1118,1414,3125.55,11.07,2.8,97.87
Campaign A,Ad-1,2025-01-04,55+,F,1517,3709,2416,4324,1284,2595,271.42,29.69,0.21,112.42
Campaign A,Ad-2,2025-01-04,35-39,M,2713,1217,4293,17739,330,2193,330.32,1.86,1.0,83.12
Campaign A,Ad-3,2025-01-04,55+,M,3004,1223,3041,18940,1310,1677,4486.0,6.92,3.42,105.13
Campaign A,Ad-4,2025-01-04,45-54,M,1459,1672,1763,4968,1409,1013,4642.07,28.36,3.29,180.02
Campaign A,Ad-5,2025-01-04,35-39,M,4191,3461,3803,17255,1477,610,1311.56,8.56,0.89,136.58
Campaign A,Ad-6,2025-01-04,18-24,M,2362,1854,1927,10256,786,3870,3924.9,7.66,4.99,197.39
Campaign A,Ad-7,2025-01-04,18-24,F,4820,3688,4944,3382,579,3906,2038.06,17.12,3.52,158.06
Campaign A,Ad-8,2025-01-04,18-24,F,1021,3357,1484,9755,838,761,3281.5,8.59,3.92,125.67
Campaign A,Ad-9,2025-01-04,18-24,F,3647,1841,3439,12207,749,777,2885.05,6.14,3.85,108.18
Campaign A,Ad-10,2025-01-04,35-39,F,4627,4566,1797,3775,841,213,1966.35,22.28,2.34,95.65
Campaign B,Ad-1,2025-01-04,45-54,M,3232,3066,1615,8336,944,1150,4728.36,11.32,5.01,199.84
Campaign B,Ad-2,2025-01-04,55+,F,1404,1558,3660,5171,870,3202,1780.3,16.82,2.05,86.03
Campaign B,Ad-3,2025-01-04,18-24,F,4173,1191,3226,8111,1034,4710,1720.11,12.75,1.66,143.23
Campaign B,Ad-4,2025-01-04,25-34,F,2593,1901,1248,4254,816,1493,510.61,19.18,0.63,170.5
Campaign B,Ad-5,2025-01-04,45-54,M,2935,1715,3861,16722,1031,300,569.92,6.17,0.55,174.89
Campaign B,Ad-6,2025-01-04,35-39,F,4219,1627,1679,17717,574,4301,3799.3,3.24,6.62,133.28
Campaign B,Ad-7,2025-01-04,25-34,M,3937,1723,4718,11573,328,1149,3082.35,2.83,9.4,90.94
Campaign B,Ad-8,2025-01-04,18-24,F,4919,3793,4499,17900,462,1481,3811.46,2.58,8.25,126.11
Campaign B,Ad-9,2025-01-04,25-34,M,2373,2798,2108,4280,1449,1252,4348.0,33.86,3.0,100.67
Campaign B,Ad-10,2025-01-04,25-34,F,4542,1835,4956,16824,314,412,468.39,1.87,1.49,176.98
Campaign C,Ad-1,2025-01-04,40-44,M,1998,1590,1152,13032,464,212,1804.76,3.56,3.89,144.02
Campaign C,Ad-2,2025-01-04,55+,F,2810,1450,2542,17062,1350,3431,3169.89,7.91,2.35,117.28
Campaign C,Ad-3,2025-01-04,45-54,M,3662,1752,3912,19567,1291,1199,2100.09,6.6,1.63,98.9
Campaign C,Ad-4,2025-01-04,18-24,M,1490,3073,4139,7067,610,3670,1541.78,8.63,2.53,145.62
Campaign C,Ad-5,2025-01-04,35-39,F,3275,3867,3485,7757,367,2143,789.05,4.73,2.15,129.66
Campaign C,Ad-6,2025-01-04,35-39,F,3664,4663,4942,15438,1058,3810,1456.43,6.85,1.38,179.14
Campaign C,Ad-7,2025-01-04,35-39,F,3622,2532,4731,11796,454,4706,2529.89,3.85,5.57,120.42
Campaign C,Ad-8,2025-01-04,55+,M,4712,2381,4013,13310,1091,3558,1924.71,8.2,1.76,83.07
Campaign C,Ad-9,2025-01-04,25-34,F,4605,4750,4746,10317,1039,668,276.32,10.07,0.27,153.77
Campaign C,Ad-10,2025-01-04,55+,F,3511,4990,2390,3049,1406,3525,1083.28,46.11,0.77,135.16
Campaign D,Ad-1,2025-01-04,45-54,M,4797,4622,1823,15300,271,4450,2426.1,1.77,8.95,197.41
Campaign D,Ad-2,2025-01-04,18-24,F,3108,3328,3376,16230,1218,2054,1104.73,7.5,0.91,160.52
Campaign D,Ad-3,2025-01-04,18-24,F,3245,4905,4816,13164,1356,3195,3001.8,10.3,2.21,136.67
Campaign D,Ad-4,2025-01-04,18-24,F,2181,1554,2221,10898,1353,4234,892.67,12.42,0.66,130.02
Campaign D,Ad-5,2025-01-04,18-24,M,4953,2193,1481,15162,800,2575,4558.92,5.28,5.7,135.67
Campaign D,Ad-6,2025-01-04,55+,F,1392,2335,1737,19367,533,4598,515.59,2.75,0.97,167.21
Campaign D,Ad-7,2025-01-04,25-34,F,4658,2363,4352,13104,671,1629,2399.51,5.12,3.58,125.74
Campaign D,Ad-8,2025-01-04,35-39,M,2654,1500,2136,3407,419,4329,2908.78,12.3,6.94,159.93
Campaign D,Ad-9,2025-01-04,35-39,F,3779,2031,1133,18989,948,623,633.49,4.99,0.67,125.86
Campaign D,Ad-10,2025-01-04,40-44,F,1285,4425,2889,19621,377,4135,1438.4,1.92,3.82,167.73
Campaign E,Ad-1,2025-01-04,45-54,M,2449,3786,1162,17858,1386,4337,1196.61,7.76,0.86,156.27
Campaign E,Ad-2,2025-01-04,55+,M,3256,1989,1413,13318,168,4331,4736.73,1.26,28.19,174.43
Campaign E,Ad-3,2025-01-04,18-24,M,2239,4726,2910,12747,782,3289,742.47,6.13,0.95,113.84
Campaign E,Ad-4,2025-01-04,40-44,F,1715,4436,3842,8809,824,2987,3151.81,9.35,3.83,191.71
Campaign E,Ad-5,2025-01-04,40-44,M,3110,1500,1545,4941,759,4308,2402.99,15.36,3.17,98.2
Campaign E,Ad-6,2025-01-04,25-34,M,2457,1429,1656,7176,733,2144,3387.92,10.21,4.62,149.0
Campaign E,Ad-7,2025-01-04,45-54,M,1224,3053,2617,17458,527,2360,1698.34,3.02,3.22,143.78
Campaign E,Ad-8,2025-01-04,35-39,F,3624,1354,3513,6423,224,2425,3759.3,3.49,16.78,197.0
Campaign E,Ad-9,2025-01-04,25-34,F,1831,4015,2290,11922,281,4318,2868.82,2.36,10.21,84.44
Campaign E,Ad-10,2025-01-04,35-39,M,1705,1902,1175,18609,866,1526,3192.44,4.65,3.69,157.38
Campaign A,Ad-1,2025-01-05,25-34,F,4440,4176,2138,13321,1429,1657,774.84,10.73,0.54,157.8
Campaign A,Ad-2,2025-01-05,35-39,F,4381,3454,2335,6738,1322,4840,4928.54,19.62,3.73,131.53
Campaign A,Ad-3,2025-01-05,18-24,F,1875,3063,2917,4183,914,313,3768.85,21.85,4.12,174.29
Campaign A,Ad-4,2025-01-05,45-54,F,4307,1021,2600,13109,1101,3550,4308.45,8.4,3.91,182.41
Campaign A,Ad-5,2025-01-05,25-34,F,4048,3342,2738,3219,1226,2698,3277.72,38.09,2.67,115.37
Campaign A,Ad-6,2025-01-05,18-24,F,1726,4877,3206,12484,1122,3974,2506.95,8.99,2.23,148.41
Campaign A,Ad-7,2025-01-05,35-39,M,3567,4237,2345,16924,1296,2614,514.83,7.66,0.4,129.82
Campaign A,Ad-8,2025-01-05,45-54,M,2413,4202,2378,4322,844,1873,3590.05,19.53,4.25,154.42
Campaign A,Ad-9,2025-01-05,55+,M,1743,3016,3061,16727,1014,1749,2862.77,6.06,2.82,160.94
Campaign A,Ad-10,2025-01-05,35-39,F,4685,3624,4659,5725,1028,4190,3680.86,17.96,3.58,186.2
Campaign B,Ad-1,2025-01-05,35-39,F,1343,1568,1988,19250,1451,405,1415.05,7.54,0.98,99.08
Campaign B,Ad-2,2025-01-05,45-54,F,3779,4433,4014,19609,1445,832,1354.11,7.37,0.94,105.59
Campaign B,Ad-3,2025-01-05,25-34,M,1824,2457,1852,3290,943,1016,1969.39,28.66,2.09,177.67
Campaign B,Ad-4,2025-01-05,55+,M,2133,3891,1012,9473,851,2485,1426.06,8.98,1.68,126.88
Campaign B,Ad-5,2025-01-05,40-44,M,3141,2070,2046,4071,1500,2523,3676.52,36.85,2.45,177.31
Campaign B,Ad-6,2025-01-05,35-39,F,2946,1952,2144,18476,989,757,978.01,5.35,0.99,115.8
Campaign B,Ad-7,2025-01-05,25-34,F,1433,4464,4605,9483,1227,2341,249.62,12.94,0.2,155.18
Campaign B,Ad-8,2025-01-05,55+,M,3001,4099,2087,19026,746,1017,2681.16,3.92,3.59,147.06
Campaign B,Ad-9,2025-01-05,25-34,M,3483,3549,4154,12532,652,887,1143.08,5.2,1.75,122.76
Campaign B,Ad-10,2025-01-05,25-34,F,3341,3728,2376,3295,328,549,2927.58,9.95,8.93,177.55
Campaign C,Ad-1,2025-01-05,25-34,F,4033,4435,4713,16818,842,3597,1707.5,5.01,2.03,192.76
Campaign C,Ad-2,2025-01-05,55+,F,1578,3704,3669,15686,387,2020,2446.43,2.47,6.32,192.69
Campaign C,Ad-3,2025-01-05,25-34,F,1087,4560,4790,6737,111,4319,851.29,1.65,7.67,169.85
Campaign C,Ad-4,2025-01-05,40-44,F,2173,4769,4535,3135,1154,311,4553.98,36.81,3.95,84.04
Campaign C,Ad-5,2025-01-05,45-54,M,1703,3214,2930,10216,563,2536,3480.83,5.51,6.18,163.71
Campaign C,Ad-6,2025-01-05,18-24,M,1704,2738,2328,14428,945,4941,1706.24,6.55,1.81,121.1
Campaign C,Ad-7,2025-01-05,45-54,M,1658,4979,2453,7404,239,2473,4780.13,3.23,20.0,122.47
Campaign C,Ad-8,2025-01-05,25-34,F,1071,2752,2529,19765,803,519,782.42,4.06,0.97,191.59
Campaign C,Ad-9,2025-01-05,55+,F,3461,2738,2123,6939,886,4120,2145.08,12.77,2.42,102.11
Campaign C,Ad-10,2025-01-05,55+,M,3813,1410,2356,10385,1358,2232,2568.44,13.08,1.89,131.11
Campaign D,Ad-1,2025-01-05,35-39,M,4302,3432,1863,7419,100,2160,510.28,1.35,5.1,92.77
Campaign D,Ad-2,2025-01-05,25-34,F,3894,1518,2205,5215,352,2314,3110.69,6.75,8.84,155.1
Campaign D,Ad-3,2025-01-05,40-44,M,3003,1502,4086,13411,237,525,4511.02,1.77,19.03,116.26
Campaign D,Ad-4,2025-01-05,25-34,F,4961,2432,1341,6465,464,624,3838.31,7.18,8.27,106.96
Campaign D,Ad-5,2025-01-05,40-44,M,3981,4454,4799,11302,1500,2725,1454.76,13.27,0.97,87.55
